ll
4492.31
4535.15
4541.07
4545.96
4558.66
4555.00
4592.09
4616.14
4626.19
4633.29
4646.17
4700.61
4801.03
4936.33
4953.72
5247.56
5287.19
5296.69
5313.59
5345.81
5348.32
